name, ra, dec, nexp, exptime, filter, horizon, moond, moonw, priority, count, period, comment
V20_L1630N                 ,   05:47:05   , +00:27:00, 3, 100, PSr, 30, 30, 6 , 8, 1,  1, VYSOS
V20_L1622                  ,   05:54:41   , +01:52:00, 3, 100, PSr, 30, 30, 6 , 2, 1,  1, VYSOS
V20_NGC2129                ,   06:01:06   , +23:19:20, 3, 100, PSr, 30, 30, 6 , 9, 1,  2, VYSOS
V20_NGC2170                ,   06:07:36   , -06:16:00, 3, 100, PSr, 30, 30, 6 , 1, 1,  1, VYSOS
V20_NGC2169                ,   06:08:32   , +13:57:57, 3, 100, PSr, 30, 30, 6 , 2, 1,  7, VYSOS
V20_NGC2182                ,   06:09:00   , -06:30:00, 3, 100, PSr, 30, 30, 6 , 9, 1,  1, VYSOS
V20_IRAS06068-0641         ,   06:09:19   , -06:41:55, 3, 100, PSr, 30, 30, 6 , 6, 1,  1, VYSOS
V20_NGC2175                ,   06:09:55   , +20:29:30, 3, 100, PSr, 30, 30, 6 , 7, 1,  3, VYSOS
V20_NGC2183                ,   06:11:00   , -06:13:37, 3, 100, PSr, 30, 30, 6 , 3, 1,  7, VYSOS
V20_RosetteNW              ,   06:31:20   , +05:03:00, 3, 100, PSr, 30, 30, 6 , 1, 1,  3, VYSOS
V20_RosetteSE              ,   06:32:40   , +04:50:00, 3, 100, PSr, 30, 30, 6 , 2, 1,  3, VYSOS
V20_NGC2264C               ,   06:41:00   , +10:01:30, 3, 100, PSr, 30, 30, 6 , 1, 1,  1, VYSOS
V20_NGC2264N               ,   06:41:00   , +10:31:00, 3, 100, PSr, 30, 30, 6 , 1, 1,  1, VYSOS
V20_NGC2264S               ,   06:41:00   , +09:32:00, 3, 100, PSr, 30, 30, 6 , 1, 1,  1, VYSOS
V20_S284                   ,   06:45:00   , +00:17:48, 3, 100, PSr, 30, 30, 6 , 3, 1, 10, VYSOS
V20_Collinder121           ,   06:54:42   , -24:18:00, 3, 100, PSr, 30, 30, 6 , 3, 1, 11, VYSOS
V20_L1656_Thommes          ,   06:57:10   , -08:20:00, 3, 100, PSr, 30, 30, 6 , 3, 1,  1, VYSOS
V20_NGC2313_V565Mon        ,   06:58:03   , -07:56:42, 3, 100, PSr, 30, 30, 6 , 5, 1,  2, VYSOS
V20_CanisMajor             ,   07:03:40   , -11:29:00, 3, 100, PSr, 30, 30, 6 , 1, 1,  1, VYSOS
V20_IC2177                 ,   07:04:37   , -10:28:16, 3, 100, PSr, 30, 30, 6 , 2, 1,  1, VYSOS
V20_CanisMajorS            ,   07:05:00   , -12:15:00, 3, 100, PSr, 30, 30, 6 , 3, 1,  1, VYSOS
V20_S301                   ,   07:09:54   , -18:30:21, 3, 100, PSr, 30, 30, 6 , 2, 1, 12, VYSOS
V20_NGC2353                ,   07:14:30   , -10:16:00, 3, 100, PSr, 30, 30, 6 , 5, 1,  4, VYSOS
V20_NGC2362                ,   07:18:42   , -24:57:00, 3, 100, PSr, 30, 30, 6 , 1, 1,  4, VYSOS
V20_NGC2367                ,   07:20:06   , -21:52:00, 3, 100, PSr, 30, 30, 6 , 5, 1,  4, VYSOS
V20_NGC2414                ,   07:33:13   , -15:27:14, 3, 100, PSr, 30, 30, 6 , 6, 1,  4, VYSOS
V20_NGC2448                ,   07:44:36   , -24:41:00, 3, 100, PSr, 30, 30, 6 , 7, 1,  4, VYSOS
V20_NGC2467                ,   07:52:50   , -26:22:00, 3, 100, PSr, 30, 30, 6 , 7, 1,  1, VYSOS
V20_Ruprecht53             ,   08:10:48   , -27:00:00, 3, 100, PSr, 30, 30, 6 , 2, 1, 11, VYSOS
V20_TWA30                  ,   11:32:18   , -30:19:52, 3, 100, PSr, 30, 30, 6 , 1, 1,  1, VYSOS
V20_J1604                  ,   16:04:22   , -21:30:28, 3, 100, PSr, 30, 30, 6 , 1, 1,  5, VYSOS
V20_L1688core              ,   16:27:00   , -24:30:00, 3, 100, PSr, 30, 30, 6 , 1, 1,  1, VYSOS
V20_L43                    ,   16:34:29   , -15:47:11, 3, 100, PSr, 30, 30, 6 , 2, 1,  8, VYSOS
V20_B59                    ,   17:11:12   , -27:24:00, 3, 100, PSr, 30, 30, 6 , 8, 1,  4, VYSOS
V20_B62                    ,   17:15:55   , -20:56:03, 3, 100, PSr, 30, 30, 6 , 1, 1,  1, VYSOS
V20_NGC6334                ,   17:20:02   , -35:56:00, 3, 100, PSr, 30, 30, 6 , 5, 1,  1, VYSOS
V20_NGC6357                ,   17:24:48   , -34:15:00, 3, 100, PSr, 30, 30, 6 , 6, 1,  1, VYSOS
